tanggal,jumlah
1/1/2014,20
2/1/2014,11
3/1/2014,19
4/1/2014,19
5/1/2014,19
6/1/2014,18
7/1/2014,5
8/1/2014,12
9/1/2014,12
10/1/2014,18
11/1/2014,21
12/1/2014,21
1/1/2015,13
2/1/2015,24
3/1/2015,24
4/1/2015,26
5/1/2015,15
6/1/2015,25
7/1/2015,16
8/1/2015,28
9/1/2015,24
10/1/2015,4
11/1/2015,0
12/1/2015,0
1/1/2016,13
2/1/2016,24
3/1/2016,24
4/1/2016,26
5/1/2016,15
6/1/2016,25
7/1/2016,16
8/1/2016,32
9/1/2016,25
10/1/2016,25
11/1/2016,28
12/1/2016,5
1/1/2017,21
2/1/2017,20
3/1/2017,31
4/1/2017,29
5/1/2017,25
6/1/2017,22
7/1/2017,28
8/1/2017,25
9/1/2017,28
10/1/2017,16
11/1/2017,14
12/1/2017,19
1/1/2018,11
2/1/2018,25
3/1/2018,18
4/1/2018,44
5/1/2018,29
6/1/2018,25
7/1/2018,22
8/1/2018,36
9/1/2018,34
10/1/2018,30
11/1/2018,31
12/1/2018,33
1/1/2019,42
2/1/2019,42
3/1/2019,24
4/1/2019,31
5/1/2019,22
6/1/2019,29
7/1/2019,37
8/1/2019,31
9/1/2019,30
10/1/2019,23
11/1/2019,30
12/1/2019,31
1/1/2020,30
2/1/2020,43
3/1/2020,36
4/1/2020,16
5/1/2020,6
6/1/2020,10
7/1/2020,20
8/1/2020,31
9/1/2020,5
10/1/2020,17
11/1/2020,13
12/1/2020,7
1/1/2021,20
2/1/2021,20
3/1/2021,15
4/1/2021,16
5/1/2021,17
6/1/2021,18
7/1/2021,13
8/1/2021,22
9/1/2021,17
10/1/2021,21
11/1/2021,7
12/1/2021,4
